family_id,n,k,family,seed,planted_mask,alpha_target,alpha,m,n_solutions,beta0,beta1,beta2,skeleton_beta1,cubical_beta1,fill_gap,girth,truncated,n_edges,n_faces,n_cubes,built_dim,total_ms
1,14,3,uniform,1000,,1.0,1.0,14,1904,1,0,0,6227,0,6227,,False,8130,14564,14145,3,1853.9684999996098
1,14,3,uniform,1000,,1.25,1.2857142857142858,18,1590,1,0,0,5067,0,5067,,False,6656,11680,11103,3,1245.551500000147
1,14,3,uniform,1000,,1.5,1.5,21,1052,1,0,0,2853,0,2853,,False,3904,5832,4455,3,353.12900000099035
1,14,3,uniform,1000,,1.6,1.5714285714285714,22,998,1,0,0,2668,0,2668,,False,3665,5409,4077,3,304.1470999996818
1,14,3,uniform,1000,,1.7,1.7142857142857142,24,865,1,0,0,2289,0,2289,,False,3153,4633,3502,3,254.68849999924714
1,14,3,uniform,1000,,1.8,1.7857142857142858,25,805,1,0,0,2087,0,2087,,False,2891,4174,3089,3,224.04249999999593
1,14,3,uniform,1000,,1.9,1.9285714285714286,27,646,1,0,0,1481,0,1481,4,False,2126,2749,1763,3,120.0901000011072
1,14,3,uniform,1000,,2.0,2.0,28,566,1,0,0,1241,0,1241,4,False,1806,2265,1407,3,102.23670000050333
1,14,3,uniform,1000,,2.1,2.0714285714285716,29,523,2,0,0,1124,0,1124,4,False,1645,2056,1284,3,95.12270000050194
1,14,3,uniform,1000,,2.2,2.2142857142857144,31,403,2,0,0,811,0,811,4,False,1212,1451,876,3,78.00399999905494
1,14,3,uniform,1000,,2.3,2.2857142857142856,32,403,2,0,0,811,0,811,4,False,1212,1451,876,3,77.82469999983732
1,14,3,uniform,1000,,2.4,2.4285714285714284,34,198,2,0,0,287,0,287,4,False,483,431,172,3,45.58059999908437
1,14,3,uniform,1000,,2.5,2.5,35,196,2,0,0,285,0,285,4,False,479,429,172,3,40.40320000058273
1,14,3,uniform,1000,,2.6,2.5714285714285716,36,173,2,0,0,243,0,243,4,False,414,363,145,3,40.73440000138362
1,14,3,uniform,1000,,2.7,2.7142857142857144,38,151,2,0,0,189,0,189,4,False,338,259,77,3,36.05760000027658
1,14,3,uniform,1000,,2.8,2.7857142857142856,39,145,2,0,0,186,0,186,4,False,329,256,77,3,42.22699999991164
1,14,3,uniform,1000,,2.9,2.9285714285714284,41,126,2,0,0,151,0,151,4,False,275,202,55,3,38.45769999861659
1,14,3,uniform,1000,,3.0,3.0,42,111,2,0,0,122,0,122,4,False,231,158,38,3,36.59950000110257
1,14,3,uniform,1000,,3.1,3.0714285714285716,43,103,2,0,0,110,0,110,4,False,211,142,34,3,35.62200000123994
1,14,3,uniform,1000,,3.2,3.2142857142857144,45,88,2,0,0,91,0,91,4,False,177,115,25,3,36.74630000023171
1,14,3,uniform,1000,,3.3,3.2857142857142856,46,84,2,0,0,84,0,84,4,False,166,105,22,3,39.81980000025942
1,14,3,uniform,1000,,3.4,3.4285714285714284,48,74,2,0,0,71,0,71,4,False,143,89,19,3,34.17740000077174
1,14,3,uniform,1000,,3.5,3.5,49,72,2,0,0,69,0,69,4,False,139,87,19,3,44.47440000149072
1,14,3,uniform,1000,,3.75,3.7142857142857144,52,69,2,0,0,63,0,63,4,False,130,79,17,3,44.42679999920074
1,14,3,uniform,1000,,4.0,4.0,56,46,2,0,0,33,0,33,4,False,77,39,6,3,33.48510000068927
1,14,3,uniform,1000,,4.25,4.285714285714286,60,34,2,0,0,21,0,21,4,False,53,25,4,3,36.34729999976116
1,14,3,uniform,1000,,4.5,4.5,63,14,4,0,0,2,0,2,4,False,12,2,0,3,34.19649999887042
1,14,3,uniform,1000,,4.75,4.714285714285714,66,14,4,0,0,2,0,2,4,False,12,2,0,3,32.4746000005689
1,14,3,uniform,1000,,5.0,5.0,70,2,2,0,0,0,0,0,,False,0,0,0,3,33.9574999998149
2,14,3,uniform,1001,,1.0,1.0,14,3228,1,12235,,12235,,,,True,15462,0,0,1,50.25190000014845
2,14,3,uniform,1001,,1.25,1.2857142857142858,18,2029,1,0,0,6667,0,6667,,False,8695,15604,15203,3,2428.7330000006477
2,14,3,uniform,1001,,1.5,1.5,21,1401,1,0,0,4180,0,4180,,False,5580,9186,8069,3,903.5968000007415
2,14,3,uniform,1001,,1.6,1.5714285714285714,22,1385,1,0,0,4139,0,4139,,False,5523,9112,8026,3,916.089500000453
2,14,3,uniform,1001,,1.7,1.7142857142857142,24,1286,1,0,0,3782,0,3782,,False,5067,8247,7157,3,753.0732999985048
2,14,3,uniform,1001,,1.8,1.7857142857142858,25,1096,1,0,0,3066,0,3066,,False,4161,6488,5361,3,497.519900000043
2,14,3,uniform,1001,,1.9,1.9285714285714286,27,834,1,0,0,2139,0,2139,,False,2972,4326,3343,3,303.913099998681
2,14,3,uniform,1001,,2.0,2.0,28,791,1,0,0,2043,0,2043,4,False,2833,4153,3240,3,306.4975000015693
2,14,3,uniform,1001,,2.1,2.0714285714285716,29,572,1,0,0,1328,0,1328,4,False,1899,2523,1726,3,130.25290000041423
2,14,3,uniform,1001,,2.2,2.2142857142857144,31,395,1,1,0,740,1,739,4,False,1134,1223,617,3,64.20059999982186
2,14,3,uniform,1001,,2.3,2.2857142857142856,32,364,1,1,0,693,1,692,4,False,1056,1157,596,3,64.51129999913974
2,14,3,uniform,1001,,2.4,2.4285714285714284,34,275,2,1,0,454,1,453,4,False,727,708,310,3,51.15730000034091
2,14,3,uniform,1001,,2.5,2.5,35,155,2,1,0,173,1,172,4,False,326,227,59,3,40.733199999522185
2,14,3,uniform,1001,,2.6,2.5714285714285716,36,139,3,1,0,146,1,145,4,False,282,191,50,3,38.499800000863615
2,14,3,uniform,1001,,2.7,2.7142857142857144,38,126,3,1,0,124,1,123,4,False,247,159,39,3,39.95220000069821
2,14,3,uniform,1001,,2.8,2.7857142857142856,39,109,3,1,0,98,1,97,4,False,204,120,24,3,36.436200000025565
2,14,3,uniform,1001,,2.9,2.9285714285714284,41,76,4,1,0,59,1,58,4,False,131,71,14,3,42.69489999933285
2,14,3,uniform,1001,,3.0,3.0,42,72,4,1,0,52,1,51,4,False,120,61,11,3,36.71159999976226
2,14,3,uniform,1001,,3.1,3.0714285714285716,43,64,5,1,0,39,1,38,4,False,98,42,4,3,36.97210000063933
2,14,3,uniform,1001,,3.2,3.2142857142857144,45,43,3,0,0,21,0,21,4,False,61,22,1,3,34.35960000024352
2,14,3,uniform,1001,,3.3,3.2857142857142856,46,34,4,0,0,13,0,13,4,False,43,14,1,3,36.22619999987364
2,14,3,uniform,1001,,3.4,3.4285714285714284,48,34,4,0,0,13,0,13,4,False,43,14,1,3,34.41030000067258
2,14,3,uniform,1001,,3.5,3.5,49,34,4,0,0,13,0,13,4,False,43,14,1,3,37.53800000049523
2,14,3,uniform,1001,,3.75,3.7142857142857144,52,33,4,0,0,13,0,13,4,False,42,14,1,3,36.382899999807705
2,14,3,uniform,1001,,4.0,4.0,56,4,2,0,0,0,0,0,,False,2,0,0,3,33.06189999966591
2,14,3,uniform,1001,,4.25,4.285714285714286,60,0,0,0,0,0,0,0,,False,0,0,0,3,33.81880000051751
2,14,3,uniform,1001,,4.5,4.5,63,0,0,0,0,0,0,0,,False,0,0,0,3,36.765300001206924
2,14,3,uniform,1001,,4.75,4.714285714285714,66,0,0,0,0,0,0,0,,False,0,0,0,3,32.390700000178185
2,14,3,uniform,1001,,5.0,5.0,70,0,0,0,0,0,0,0,,False,0,0,0,3,33.64549999969313
3,14,3,uniform,1002,,1.0,1.0,14,2240,1,0,0,7969,0,7969,,False,10208,19910,21693,3,4374.988300000041
3,14,3,uniform,1002,,1.25,1.2857142857142858,18,1744,1,0,0,5748,0,5748,,False,7491,13588,13524,3,2184.243099998639
3,14,3,uniform,1002,,1.5,1.5,21,1004,1,0,0,2669,0,2669,,False,3672,5530,4483,3,462.93839999998454
3,14,3,uniform,1002,,1.6,1.5714285714285714,22,776,1,1,0,1814,1,1813,4,False,2589,3436,2330,3,201.76579999861133
3,14,3,uniform,1002,,1.7,1.7142857142857142,24,624,1,2,0,1340,2,1338,4,False,1963,2403,1458,3,130.95090000024356
3,14,3,uniform,1002,,1.8,1.7857142857142858,25,308,1,0,0,515,0,515,4,False,822,809,361,3,49.64719999952649
3,14,3,uniform,1002,,1.9,1.9285714285714286,27,258,1,1,0,397,1,396,4,False,654,603,248,3,46.36519999985467
3,14,3,uniform,1002,,2.0,2.0,28,250,1,1,0,381,1,380,4,False,630,577,236,3,43.49309999997786
3,14,3,uniform,1002,,2.1,2.0714285714285716,29,220,1,1,0,339,1,338,4,False,558,518,217,3,43.52909999943222
3,14,3,uniform,1002,,2.2,2.2142857142857144,31,181,1,1,0,240,1,239,4,False,420,337,110,3,37.11899999871093
3,14,3,uniform,1002,,2.3,2.2857142857142856,32,148,1,0,0,186,0,186,4,False,333,257,78,3,35.760900000241236
3,14,3,uniform,1002,,2.4,2.4285714285714284,34,136,2,0,0,172,0,172,4,False,306,239,74,3,37.321699999665725
3,14,3,uniform,1002,,2.5,2.5,35,92,2,0,0,112,0,112,4,False,202,158,52,3,36.63369999958377
3,14,3,uniform,1002,,2.6,2.5714285714285716,36,92,2,0,0,112,0,112,4,False,202,158,52,3,34.40500000033353
3,14,3,uniform,1002,,2.7,2.7142857142857144,38,82,1,0,0,106,0,106,4,False,187,151,51,3,34.30309999930614
3,14,3,uniform,1002,,2.8,2.7857142857142856,39,82,1,0,0,106,0,106,4,False,187,151,51,3,32.153399999515386
3,14,3,uniform,1002,,2.9,2.9285714285714284,41,78,1,0,0,102,0,102,4,False,179,147,51,3,33.331900000121095
3,14,3,uniform,1002,,3.0,3.0,42,78,1,0,0,102,0,102,4,False,179,147,51,3,31.203499998810003
3,14,3,uniform,1002,,3.1,3.0714285714285716,43,72,1,0,0,90,0,90,4,False,161,128,43,3,32.65129999999772
3,14,3,uniform,1002,,3.2,3.2142857142857144,45,72,1,0,0,90,0,90,4,False,161,128,43,3,33.2894999992277
3,14,3,uniform,1002,,3.3,3.2857142857142856,46,70,1,0,0,85,0,85,4,False,154,119,38,3,32.72999999899184
3,14,3,uniform,1002,,3.4,3.4285714285714284,48,65,1,0,0,75,0,75,4,False,139,103,31,3,32.189999999900465
3,14,3,uniform,1002,,3.5,3.5,49,57,1,0,0,58,0,58,4,False,114,75,18,3,31.603700001141988
3,14,3,uniform,1002,,3.75,3.7142857142857144,52,23,3,0,0,10,0,10,4,False,30,11,1,3,32.47600000031525
3,14,3,uniform,1002,,4.0,4.0,56,12,1,0,0,6,0,6,4,False,17,7,1,3,29.422600000543753
3,14,3,uniform,1002,,4.25,4.285714285714286,60,12,1,0,0,6,0,6,4,False,17,7,1,3,30.982899999798974
3,14,3,uniform,1002,,4.5,4.5,63,12,1,0,0,6,0,6,4,False,17,7,1,3,29.434899999614572
3,14,3,uniform,1002,,4.75,4.714285714285714,66,4,1,0,0,1,0,1,4,False,4,1,0,3,30.686699999932898
3,14,3,uniform,1002,,5.0,5.0,70,0,0,0,0,0,0,0,,False,0,0,0,3,29.43279999999504
4,14,3,uniform,1003,,1.0,1.0,14,2612,1,9162,,9162,,,,True,11773,0,0,1,41.63710000102583
4,14,3,uniform,1003,,1.25,1.2857142857142858,18,1429,1,0,0,4209,0,4209,,False,5637,9206,8071,3,840.5772000005527
4,14,3,uniform,1003,,1.5,1.5,21,997,1,0,0,2633,0,2633,,False,3629,5322,4008,3,330.8649999999034
4,14,3,uniform,1003,,1.6,1.5714285714285714,22,935,1,0,0,2438,0,2438,,False,3372,4891,3635,3,324.9279999999999
4,14,3,uniform,1003,,1.7,1.7142857142857142,24,682,1,0,0,1577,0,1577,4,False,2258,2927,1873,3,127.53460000021732
4,14,3,uniform,1003,,1.8,1.7857142857142858,25,600,1,0,0,1318,0,1318,4,False,1917,2379,1445,3,103.36950000055367
4,14,3,uniform,1003,,1.9,1.9285714285714286,27,565,1,0,0,1206,0,1206,4,False,1770,2132,1234,3,93.08120000059716
4,14,3,uniform,1003,,2.0,2.0,28,411,1,0,0,765,0,765,4,False,1175,1256,619,3,57.783099999141996
4,14,3,uniform,1003,,2.1,2.0714285714285716,29,377,1,0,0,677,0,677,4,False,1053,1085,501,3,51.66809999900579
4,14,3,uniform,1003,,2.2,2.2142857142857144,31,226,1,0,0,321,0,321,4,False,546,448,138,3,41.5474000001268
4,14,3,uniform,1003,,2.3,2.2857142857142856,32,193,2,0,0,264,0,264,4,False,455,369,115,3,72.23549999980605
4,14,3,uniform,1003,,2.4,2.4285714285714284,34,120,2,0,0,118,0,118,4,False,236,144,26,3,72.6751999991393
4,14,3,uniform,1003,,2.5,2.5,35,112,2,0,0,103,0,103,4,False,213,124,21,3,47.730000000228756
4,14,3,uniform,1003,,2.6,2.5714285714285716,36,112,2,0,0,103,0,103,4,False,213,124,21,3,35.03730000011274
4,14,3,uniform,1003,,2.7,2.7142857142857144,38,74,2,0,0,61,0,61,4,False,133,73,12,3,31.9710000003397
4,14,3,uniform,1003,,2.8,2.7857142857142856,39,66,3,0,0,51,0,51,4,False,114,61,10,3,34.202799999548006
4,14,3,uniform,1003,,2.9,2.9285714285714284,41,60,3,0,0,38,0,38,4,False,95,43,5,3,32.34400000110327
4,14,3,uniform,1003,,3.0,3.0,42,50,3,0,0,23,0,23,4,False,70,26,3,3,32.5950999995257
4,14,3,uniform,1003,,3.1,3.0714285714285716,43,40,3,0,0,10,0,10,4,False,47,10,0,3,30.29690000039409
4,14,3,uniform,1003,,3.2,3.2142857142857144,45,36,2,0,0,10,0,10,4,False,44,10,0,3,30.367700001079356
4,14,3,uniform,1003,,3.3,3.2857142857142856,46,34,3,0,0,10,0,10,4,False,41,10,0,3,36.29870000077062
4,14,3,uniform,1003,,3.4,3.4285714285714284,48,31,3,0,0,8,0,8,4,False,36,8,0,3,29.11550000135321
4,14,3,uniform,1003,,3.5,3.5,49,25,4,0,0,7,0,7,4,False,28,7,0,3,29.659800000445102
